Date,^NSEBANK,^NSEI
2024-05-22,47781.94921875,22597.80078125
2024-05-23,48768.6015625,22967.650390625
2024-05-24,48971.6484375,22957.099609375
2024-05-27,49281.80078125,22932.44921875
2024-05-28,49142.1484375,22888.150390625
2024-05-29,48501.3515625,22704.69921875
2024-05-30,48682.3515625,22488.650390625
2024-05-31,48983.94921875,22530.69921875
2024-06-03,50979.94921875,23263.900390625
2024-06-04,46928.6015625,21884.5
2024-06-05,49054.6015625,22620.349609375
2024-06-06,49291.8984375,22821.400390625
2024-06-07,49803.19921875,23290.150390625
2024-06-10,49780.8984375,23259.19921875
2024-06-11,49705.75,23264.849609375
2024-06-12,49895.1015625,23322.94921875
2024-06-13,49846.69921875,23398.900390625
2024-06-14,50002.0,23465.599609375
2024-06-18,50440.8984375,23557.900390625
2024-06-19,51398.05078125,23516.0
2024-06-20,51783.25,23567.0
2024-06-21,51661.44921875,23501.099609375
2024-06-24,51703.94921875,23537.849609375
2024-06-25,52606.0,23721.30078125
2024-06-26,52870.5,23868.80078125
2024-06-27,52811.30078125,24044.5
2024-06-28,52342.25,24010.599609375
2024-07-01,52574.75,24141.94921875
2024-07-02,52168.1015625,24123.849609375
2024-07-03,53089.25,24286.5
2024-07-04,53103.69921875,24302.150390625
2024-07-05,52660.3515625,24323.849609375
2024-07-08,52425.80078125,24320.55078125
2024-07-09,52568.80078125,24433.19921875
2024-07-10,52189.30078125,24324.44921875
2024-07-11,52270.6484375,24315.94921875
2024-07-12,52278.8984375,24502.150390625
2024-07-15,52455.8984375,24586.69921875
2024-07-16,52396.80078125,24613.0
2024-07-18,52620.69921875,24800.849609375
2024-07-19,52265.6015625,24530.900390625
2024-07-22,52280.3984375,24509.25
2024-07-23,51778.30078125,24479.05078125
2024-07-24,51317.0,24413.5
2024-07-25,50888.75,24406.099609375
2024-07-26,51295.94921875,24834.849609375
2024-07-29,51406.25,24836.099609375
2024-07-30,51499.30078125,24857.30078125
2024-07-31,51553.3984375,24951.150390625
2024-08-01,51564.0,25010.900390625
2024-08-02,51350.1484375,24717.69921875
2024-08-05,50092.1015625,24055.599609375
2024-08-06,49748.30078125,23992.55078125
2024-08-07,50119.0,24297.5
2024-08-08,50156.69921875,24117.0
2024-08-09,50484.5,24367.5
2024-08-12,50577.94921875,24347.0
2024-08-13,49831.8515625,24139.0
2024-08-14,49727.30078125,24143.75
2024-08-16,50516.8984375,24541.150390625
2024-08-19,50368.3515625,24572.650390625
2024-08-20,50803.1484375,24698.849609375
2024-08-21,50685.55078125,24770.19921875
2024-08-22,50985.69921875,24811.5
2024-08-23,50933.44921875,24823.150390625
2024-08-26,51148.1015625,25010.599609375
2024-08-27,51278.75,25017.75
2024-08-28,51143.8515625,25052.349609375
2024-08-29,51152.75,25151.94921875
2024-08-30,51351.0,25235.900390625
2024-09-02,51439.55078125,25278.69921875
2024-09-03,51689.1015625,25279.849609375
2024-09-04,51400.25,25198.69921875
2024-09-05,51473.05078125,25145.099609375
2024-09-06,50576.8515625,24852.150390625
2024-09-09,51117.80078125,24936.400390625
2024-09-10,51272.30078125,25041.099609375
2024-09-11,51010.0,24918.44921875
